"Theta [deg]","Measured"
0,3.0785
5,3.3554
10,3.3686
15,3.1579
20,2.7872
25,2.1839
30,1.5963
35,1.1114
40,0.71551
45,0.35982
50,0.033551
55,-0.42231
60,-1.0533
65,-1.9075
70,-3.005
75,-4.3017
80,-5.6625
85,-7.1047
90,-8.4974
95,-9.522
100,-9.9475
105,-10.289
110,-10.08
115,-9.7135
120,-9.3521
125,-9.3249
130,-9.2591
135,-9.5198
140,-9.6541
145,-10.419
150,-11.644
155,-13.685
160,-18.226
165,-24.324
170,-17.309
175,-12.886
180,-10.989
185,-10.641
190,-11.744
195,-14.921
200,-22.572
205,-30.321
210,-18.632
215,-13.821
220,-11.298
225,-9.3
230,-8.0092
235,-7.0549
240,-6.6526
245,-6.7322
250,-7.3209
255,-7.9979
260,-8.971
265,-9.5943
270,-9.6585
275,-8.6846
280,-7.3256
285,-5.9852
290,-4.8085
295,-3.8034
300,-2.6863
305,-1.776
310,-0.95461
315,-0.23721
320,0.40369
325,1.0229
330,1.3167
335,1.7543
340,1.9249
345,1.9904
350,2.0405
355,2.153
360,2.5026
