"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.20000000000E+009, +7.22445768041E+000, +0.00000000000E+000
+2.20080000000E+009, +7.21793919690E+000, +0.00000000000E+000
+2.20160000000E+009, +7.21043264503E+000, +0.00000000000E+000
+2.20240000000E+009, +7.16991405655E+000, +0.00000000000E+000
+2.20320000000E+009, +7.11473385195E+000, +0.00000000000E+000
+2.20400000000E+009, +7.05884534764E+000, +0.00000000000E+000
+2.20480000000E+009, +6.98775210722E+000, +0.00000000000E+000
+2.20560000000E+009, +6.91440155647E+000, +0.00000000000E+000
+2.20640000000E+009, +6.89166120169E+000, +0.00000000000E+000
+2.20720000000E+009, +6.86416194853E+000, +0.00000000000E+000
+2.20800000000E+009, +6.86724914291E+000, +0.00000000000E+000
+2.20880000000E+009, +6.89166204472E+000, +0.00000000000E+000
+2.20960000000E+009, +6.92217654785E+000, +0.00000000000E+000
+2.21040000000E+009, +6.96902055441E+000, +0.00000000000E+000
+2.21120000000E+009, +7.01968743430E+000, +0.00000000000E+000
+2.21200000000E+009, +7.07450586511E+000, +0.00000000000E+000
+2.21280000000E+009, +7.12828241836E+000, +0.00000000000E+000
+2.21360000000E+009, +7.16193924684E+000, +0.00000000000E+000
+2.21440000000E+009, +7.18144132525E+000, +0.00000000000E+000
+2.21520000000E+009, +7.18515361013E+000, +0.00000000000E+000
+2.21600000000E+009, +7.14975797991E+000, +0.00000000000E+000
+2.21680000000E+009, +7.11936336069E+000, +0.00000000000E+000
+2.21760000000E+009, +7.05457872430E+000, +0.00000000000E+000
+2.21840000000E+009, +6.98628458728E+000, +0.00000000000E+000
+2.21920000000E+009, +6.93399029014E+000, +0.00000000000E+000
+2.22000000000E+009, +6.89377148294E+000, +0.00000000000E+000
+2.22080000000E+009, +6.86081346495E+000, +0.00000000000E+000
+2.22160000000E+009, +6.86682786165E+000, +0.00000000000E+000
+2.22240000000E+009, +6.87352825091E+000, +0.00000000000E+000
+2.22320000000E+009, +6.89698173479E+000, +0.00000000000E+000
+2.22400000000E+009, +6.92379386574E+000, +0.00000000000E+000
+2.22480000000E+009, +6.96808796423E+000, +0.00000000000E+000
+2.22560000000E+009, +7.02928870517E+000, +0.00000000000E+000
+2.22640000000E+009, +7.08535733422E+000, +0.00000000000E+000
+2.22720000000E+009, +7.12391588117E+000, +0.00000000000E+000
+2.22800000000E+009, +7.16114018906E+000, +0.00000000000E+000
+2.22880000000E+009, +7.16700344091E+000, +0.00000000000E+000
+2.22960000000E+009, +7.17256119979E+000, +0.00000000000E+000
+2.23040000000E+009, +7.14734200783E+000, +0.00000000000E+000
+2.23120000000E+009, +7.09221290264E+000, +0.00000000000E+000
+2.23200000000E+009, +7.04114810271E+000, +0.00000000000E+000
+2.23280000000E+009, +6.98493308192E+000, +0.00000000000E+000
+2.23360000000E+009, +6.92679508186E+000, +0.00000000000E+000
+2.23440000000E+009, +6.88506027449E+000, +0.00000000000E+000
+2.23520000000E+009, +6.84446035438E+000, +0.00000000000E+000
+2.23600000000E+009, +6.82134644954E+000, +0.00000000000E+000
+2.23680000000E+009, +6.81821160184E+000, +0.00000000000E+000
+2.23760000000E+009, +6.82036715937E+000, +0.00000000000E+000
+2.23840000000E+009, +6.85869672592E+000, +0.00000000000E+000
+2.23920000000E+009, +6.89678102884E+000, +0.00000000000E+000
+2.24000000000E+009, +6.95705517460E+000, +0.00000000000E+000
+2.24080000000E+009, +7.02271016024E+000, +0.00000000000E+000
+2.24160000000E+009, +7.07242650857E+000, +0.00000000000E+000
+2.24240000000E+009, +7.10460190911E+000, +0.00000000000E+000
+2.24320000000E+009, +7.13116007839E+000, +0.00000000000E+000
+2.24400000000E+009, +7.10710231128E+000, +0.00000000000E+000
+2.24480000000E+009, +7.09385684950E+000, +0.00000000000E+000
+2.24560000000E+009, +7.04074987036E+000, +0.00000000000E+000
+2.24640000000E+009, +6.97437830887E+000, +0.00000000000E+000
+2.24720000000E+009, +6.91885160862E+000, +0.00000000000E+000
+2.24800000000E+009, +6.87647443172E+000, +0.00000000000E+000
+2.24880000000E+009, +6.83468265455E+000, +0.00000000000E+000
+2.24960000000E+009, +6.80768367576E+000, +0.00000000000E+000
+2.25040000000E+009, +6.78082105883E+000, +0.00000000000E+000
+2.25120000000E+009, +6.78024901508E+000, +0.00000000000E+000
+2.25200000000E+009, +6.79089767220E+000, +0.00000000000E+000
+2.25280000000E+009, +6.81496636090E+000, +0.00000000000E+000
+2.25360000000E+009, +6.86332596089E+000, +0.00000000000E+000
+2.25440000000E+009, +6.91107682481E+000, +0.00000000000E+000
+2.25520000000E+009, +6.96088912422E+000, +0.00000000000E+000
+2.25600000000E+009, +7.01082828183E+000, +0.00000000000E+000
+2.25680000000E+009, +7.03149823028E+000, +0.00000000000E+000
+2.25760000000E+009, +7.04082450905E+000, +0.00000000000E+000
+2.25840000000E+009, +7.03705493984E+000, +0.00000000000E+000
+2.25920000000E+009, +7.00165020984E+000, +0.00000000000E+000
+2.26000000000E+009, +6.97340520079E+000, +0.00000000000E+000
+2.26080000000E+009, +6.92437722623E+000, +0.00000000000E+000
+2.26160000000E+009, +6.87630965196E+000, +0.00000000000E+000
+2.26240000000E+009, +6.84062496410E+000, +0.00000000000E+000
+2.26320000000E+009, +6.80997911852E+000, +0.00000000000E+000
+2.26400000000E+009, +6.78286818914E+000, +0.00000000000E+000
+2.26480000000E+009, +6.76446563163E+000, +0.00000000000E+000
+2.26560000000E+009, +6.74749643456E+000, +0.00000000000E+000
+2.26640000000E+009, +6.76837815874E+000, +0.00000000000E+000
+2.26720000000E+009, +6.79024101438E+000, +0.00000000000E+000
+2.26800000000E+009, +6.83275314322E+000, +0.00000000000E+000
+2.26880000000E+009, +6.88785680331E+000, +0.00000000000E+000
+2.26960000000E+009, +6.93324029842E+000, +0.00000000000E+000
+2.27040000000E+009, +6.96029943310E+000, +0.00000000000E+000
+2.27120000000E+009, +6.98918474216E+000, +0.00000000000E+000
+2.27200000000E+009, +6.97838668066E+000, +0.00000000000E+000
+2.27280000000E+009, +6.96843625590E+000, +0.00000000000E+000
+2.27360000000E+009, +6.93683395305E+000, +0.00000000000E+000
+2.27440000000E+009, +6.88907563230E+000, +0.00000000000E+000
+2.27520000000E+009, +6.84398588300E+000, +0.00000000000E+000
+2.27600000000E+009, +6.79796466289E+000, +0.00000000000E+000
+2.27680000000E+009, +6.74977218358E+000, +0.00000000000E+000
+2.27760000000E+009, +6.71800559778E+000, +0.00000000000E+000
+2.27840000000E+009, +6.68667949926E+000, +0.00000000000E+000
+2.27920000000E+009, +6.67264229767E+000, +0.00000000000E+000
+2.28000000000E+009, +6.67389123832E+000, +0.00000000000E+000
+2.28080000000E+009, +6.68245946114E+000, +0.00000000000E+000
+2.28160000000E+009, +6.71828201084E+000, +0.00000000000E+000
+2.28240000000E+009, +6.75573919828E+000, +0.00000000000E+000
+2.28320000000E+009, +6.79834124179E+000, +0.00000000000E+000
+2.28400000000E+009, +6.83964917608E+000, +0.00000000000E+000
+2.28480000000E+009, +6.87870171813E+000, +0.00000000000E+000
+2.28560000000E+009, +6.91974724921E+000, +0.00000000000E+000
+2.28640000000E+009, +6.94967793058E+000, +0.00000000000E+000
+2.28720000000E+009, +6.92333451608E+000, +0.00000000000E+000
+2.28800000000E+009, +6.90363426167E+000, +0.00000000000E+000
+2.28880000000E+009, +6.86070252625E+000, +0.00000000000E+000
+2.28960000000E+009, +6.81396988629E+000, +0.00000000000E+000
+2.29040000000E+009, +6.76535788182E+000, +0.00000000000E+000
+2.29120000000E+009, +6.71340169420E+000, +0.00000000000E+000
+2.29200000000E+009, +6.66551361737E+000, +0.00000000000E+000
+2.29280000000E+009, +6.64447610941E+000, +0.00000000000E+000
+2.29360000000E+009, +6.62400036625E+000, +0.00000000000E+000
+2.29440000000E+009, +6.62442108443E+000, +0.00000000000E+000
+2.29520000000E+009, +6.63118107954E+000, +0.00000000000E+000
+2.29600000000E+009, +6.65573377016E+000, +0.00000000000E+000
+2.29680000000E+009, +6.70104872199E+000, +0.00000000000E+000
+2.29760000000E+009, +6.74442948883E+000, +0.00000000000E+000
+2.29840000000E+009, +6.77467733306E+000, +0.00000000000E+000
+2.29920000000E+009, +6.80496022512E+000, +0.00000000000E+000
+2.30000000000E+009, +6.81726756994E+000, +0.00000000000E+000
+2.30080000000E+009, +6.83130857361E+000, +0.00000000000E+000
+2.30160000000E+009, +6.82502455583E+000, +0.00000000000E+000
+2.30240000000E+009, +6.79151498179E+000, +0.00000000000E+000
+2.30320000000E+009, +6.76158605132E+000, +0.00000000000E+000
+2.30400000000E+009, +6.72655666706E+000, +0.00000000000E+000
+2.30480000000E+009, +6.69155448321E+000, +0.00000000000E+000
+2.30560000000E+009, +6.64519483932E+000, +0.00000000000E+000
+2.30640000000E+009, +6.59617418819E+000, +0.00000000000E+000
+2.30720000000E+009, +6.56184206983E+000, +0.00000000000E+000
+2.30800000000E+009, +6.54952828069E+000, +0.00000000000E+000
+2.30880000000E+009, +6.54246639393E+000, +0.00000000000E+000
+2.30960000000E+009, +6.57263063956E+000, +0.00000000000E+000
+2.31040000000E+009, +6.60227001690E+000, +0.00000000000E+000
+2.31120000000E+009, +6.63727053356E+000, +0.00000000000E+000
+2.31200000000E+009, +6.67265385466E+000, +0.00000000000E+000
+2.31280000000E+009, +6.70633268781E+000, +0.00000000000E+000
+2.31360000000E+009, +6.74156282537E+000, +0.00000000000E+000
+2.31440000000E+009, +6.77986029928E+000, +0.00000000000E+000
+2.31520000000E+009, +6.77533972160E+000, +0.00000000000E+000
+2.31600000000E+009, +6.77789149833E+000, +0.00000000000E+000
+2.31680000000E+009, +6.75483776210E+000, +0.00000000000E+000
+2.31760000000E+009, +6.71810641311E+000, +0.00000000000E+000
+2.31840000000E+009, +6.67881849791E+000, +0.00000000000E+000
+2.31920000000E+009, +6.63138885599E+000, +0.00000000000E+000
+2.32000000000E+009, +6.58294682720E+000, +0.00000000000E+000
+2.32080000000E+009, +6.54783868859E+000, +0.00000000000E+000
+2.32160000000E+009, +6.51235219511E+000, +0.00000000000E+000
+2.32240000000E+009, +6.49888337968E+000, +0.00000000000E+000
+2.32320000000E+009, +6.49792394342E+000, +0.00000000000E+000
+2.32400000000E+009, +6.50808079973E+000, +0.00000000000E+000
+2.32480000000E+009, +6.54145393533E+000, +0.00000000000E+000
+2.32560000000E+009, +6.57269207676E+000, +0.00000000000E+000
+2.32640000000E+009, +6.60016807543E+000, +0.00000000000E+000
+2.32720000000E+009, +6.62710728618E+000, +0.00000000000E+000
+2.32800000000E+009, +6.64978749059E+000, +0.00000000000E+000
+2.32880000000E+009, +6.67494041014E+000, +0.00000000000E+000
+2.32960000000E+009, +6.68966317919E+000, +0.00000000000E+000
+2.33040000000E+009, +6.67259081620E+000, +0.00000000000E+000
+2.33120000000E+009, +6.65445169230E+000, +0.00000000000E+000
+2.33200000000E+009, +6.61941853624E+000, +0.00000000000E+000
+2.33280000000E+009, +6.58143965160E+000, +0.00000000000E+000
+2.33360000000E+009, +6.54175827551E+000, +0.00000000000E+000
+2.33440000000E+009, +6.50258514834E+000, +0.00000000000E+000
+2.33520000000E+009, +6.46746902400E+000, +0.00000000000E+000
+2.33600000000E+009, +6.44088389444E+000, +0.00000000000E+000
+2.33680000000E+009, +6.41512046147E+000, +0.00000000000E+000
+2.33760000000E+009, +6.42581673889E+000, +0.00000000000E+000
+2.33840000000E+009, +6.43745710528E+000, +0.00000000000E+000
+2.33920000000E+009, +6.46500062897E+000, +0.00000000000E+000
+2.34000000000E+009, +6.50159991586E+000, +0.00000000000E+000
+2.34080000000E+009, +6.53359121356E+000, +0.00000000000E+000
+2.34160000000E+009, +6.57106483799E+000, +0.00000000000E+000
+2.34240000000E+009, +6.61257246842E+000, +0.00000000000E+000
+2.34320000000E+009, +6.61570475458E+000, +0.00000000000E+000
+2.34400000000E+009, +6.61438657410E+000, +0.00000000000E+000
+2.34480000000E+009, +6.60478289039E+000, +0.00000000000E+000
+2.34560000000E+009, +6.58629049615E+000, +0.00000000000E+000
+2.34640000000E+009, +6.56310102192E+000, +0.00000000000E+000
+2.34720000000E+009, +6.53078757202E+000, +0.00000000000E+000
+2.34800000000E+009, +6.49611577756E+000, +0.00000000000E+000
+2.34880000000E+009, +6.45649225948E+000, +0.00000000000E+000
+2.34960000000E+009, +6.41528436196E+000, +0.00000000000E+000
+2.35040000000E+009, +6.38585083010E+000, +0.00000000000E+000
+2.35120000000E+009, +6.36579073450E+000, +0.00000000000E+000
+2.35200000000E+009, +6.35363789482E+000, +0.00000000000E+000
+2.35280000000E+009, +6.37070313858E+000, +0.00000000000E+000
+2.35360000000E+009, +6.38502689646E+000, +0.00000000000E+000
+2.35440000000E+009, +6.41276463602E+000, +0.00000000000E+000
+2.35520000000E+009, +6.44334543342E+000, +0.00000000000E+000
+2.35600000000E+009, +6.46446529071E+000, +0.00000000000E+000
+2.35680000000E+009, +6.48161327181E+000, +0.00000000000E+000
+2.35760000000E+009, +6.49502543536E+000, +0.00000000000E+000
+2.35840000000E+009, +6.48689886529E+000, +0.00000000000E+000
+2.35920000000E+009, +6.47936853267E+000, +0.00000000000E+000
+2.36000000000E+009, +6.45287636294E+000, +0.00000000000E+000
+2.36080000000E+009, +6.42022597023E+000, +0.00000000000E+000
+2.36160000000E+009, +6.38604703320E+000, +0.00000000000E+000
+2.36240000000E+009, +6.34942426104E+000, +0.00000000000E+000
+2.36320000000E+009, +6.31493582913E+000, +0.00000000000E+000
+2.36400000000E+009, +6.29543397107E+000, +0.00000000000E+000
